Site,datetime,GPP_daily,ER_daily,K600_daily
HOGNW16,2019-05-24 00:00:00,0.163984087,-1.986241421,8.592706813
HOGNW16,2019-05-25 00:00:00,0.199727715,-2.109021991,8.790521534
HOGNW16,2019-05-26 00:00:00,0.195115351,-1.951312209,7.754723766
HOGNW16,2019-05-27 00:00:00,0.281295871,-2.160575034,8.214152141
HOGNW16,2019-05-28 00:00:00,0.156503532,-0.645781164,0.229845068
HOGNW16,2019-05-29 00:00:00,-0.033155551,-2.648434664,6.069176508
HOGNW16,2019-05-30 00:00:00,0.023008462,-3.609689493,10.32774572
HOGNW16,2019-05-31 00:00:00,-0.132228748,-0.303745737,0.191530128
HOGNW16,2019-06-02 00:00:00,0.155211336,-4.313442109,10.91115694
HOGNW16,2019-06-03 00:00:00,0.185909871,-4.111777478,11.0871887
HOGNW16,2019-06-04 00:00:00,0.070571762,-0.820706344,1.352295471
HOGNW16,2019-06-05 00:00:00,0.019678574,-3.036296865,5.936143474
HOGNW16,2019-06-06 00:00:00,0.064833426,-3.616553688,10.12193777
HOGNW16,2019-06-07 00:00:00,-0.053314257,-1.390705068,2.941842561
HOGNW16,2019-06-08 00:00:00,0.179323058,-3.051486825,6.019600232
HOGNW16,2019-06-09 00:00:00,-0.119856402,-1.335477005,2.95716061
HOGNW16,2019-06-10 00:00:00,-0.026685695,-3.784788984,9.687478908
HOGNW16,2019-06-11 00:00:00,-0.361884007,-1.270688037,3.131607255
HOGNW16,2019-07-10 00:00:00,-0.006908149,-2.920792907,9.606733519
HOGNW16,2019-07-11 00:00:00,0.010498881,-1.468538859,3.743903734
HOGNW16,2019-07-12 00:00:00,-0.053703555,-0.179991511,0.364014024
HOGNW16,2019-07-13 00:00:00,-0.07347748,-2.580260257,7.084393005
HOGNW16,2019-07-14 00:00:00,-0.057534572,-3.018293478,8.767554724
HOGNW16,2019-07-15 00:00:00,-0.063645876,-0.606435732,1.52824981
HOGNW16,2019-07-16 00:00:00,-0.07170394,-0.275514661,0.462502835
HOGNW16,2019-07-17 00:00:00,-0.047889123,-0.044080802,0.1558961
HOGNW16,2019-07-18 00:00:00,-0.032778201,-2.881340322,6.970016388
HOGNW16,2019-07-19 00:00:00,-0.107909803,-0.714311196,1.902579622
HOGNW16,2019-07-20 00:00:00,-0.066670669,-0.216767751,0.453421823
HOGNW16,2019-07-22 00:00:00,-0.076555984,-2.307282287,5.830991946
HOGNW16,2019-07-23 00:00:00,-0.086589625,-1.026060434,2.368381823
HOGNW16,2019-07-24 00:00:00,-0.100829304,0.067988186,0.201269491
HOGNW16,2019-07-25 00:00:00,-0.103771041,-1.886645486,4.129477351
HOGNW16,2019-07-26 00:00:00,-0.080931025,-1.62422369,3.590520795
HOGNW16,2019-07-27 00:00:00,-0.182614767,-1.504198634,3.47185426
HOGNW16,2019-07-28 00:00:00,-0.070711387,-1.734279565,4.046016919
POS,2019-02-23 00:00:00,0.739741597,-4.497052893,23.31530596
POS,2019-02-24 00:00:00,0.562905188,-3.688119193,16.16495077
POS,2019-02-25 00:00:00,0.514010821,-4.001509079,24.15584243
POS,2019-02-26 00:00:00,0.320071621,-4.282697654,25.23837568
POS,2019-03-01 00:00:00,0.3714576,-4.702455629,24.04572403
POS,2019-03-02 00:00:00,0.320017178,-2.804831872,11.06170484
POS,2019-03-06 00:00:00,0.143691162,-3.091760402,24.52651547
POS,2019-03-07 00:00:00,0.14677666,-3.032550991,23.83547494
POS,2019-03-08 00:00:00,0.175151214,-3.083684649,22.96686511
POS,2019-03-10 00:00:00,0.246048577,-3.765721237,22.9409345
POS,2019-03-11 00:00:00,0.288026803,-3.600432196,21.33462734
POS,2019-03-12 00:00:00,0.155279228,-3.527967119,22.02768748
POS,2019-03-13 00:00:00,0.363507613,-2.837936951,12.83618855
POS,2019-03-14 00:00:00,-0.179618229,-0.67767004,1.641409013
POS,2019-03-15 00:00:00,-0.437943452,-3.839380832,4.854715358
POS,2019-03-16 00:00:00,-0.595389022,0.240985434,2.514563911
POS,2019-03-17 00:00:00,0.306572056,-3.974930708,19.44348273
POS,2019-03-18 00:00:00,-0.02735073,-2.689242376,8.044731093
POS,2019-03-19 00:00:00,-0.570768292,-0.454609153,1.076671182
POS,2019-03-20 00:00:00,-0.015333808,-0.026333019,1.389222538
POS,2019-03-21 00:00:00,-0.298209405,-0.818801785,1.706717611
POS,2019-03-22 00:00:00,0.343112172,-0.416791479,2.277362309
POS,2019-03-23 00:00:00,0.070742603,-2.539012468,20.4249199
